X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.731934,28.368496,0,0,153,2248.2,2017/07/08 00:49:43+00,,,,,,,,,,,,,,,,,,,,,
83.731834,28.368495,0,0,154,2252.6,2017/07/08 00:49:54+00,,,,,,,,,,,,,,,,,,,,,
83.731776,28.368519,0,0,155,2255.4,2017/07/08 00:50:07+00,,,,,,,,,,,,,,,,,,,,,
83.731678,28.368568,0,0,156,2258.5,2017/07/08 00:50:17+00,,,,,,,,,,,,,,,,,,,,,
83.73158,28.368657,0,0,157,2260.5,2017/07/08 00:50:30+00,,,,,,,,,,,,,,,,,,,,,
83.731526,28.36867,0,0,158,2261.9,2017/07/08 00:50:41+00,,,,,,,,,,,,,,,,,,,,,
83.731492,28.368675,0,0,159,2262.3,2017/07/08 00:50:54+00,,,,,,,,,,,,,,,,,,,,,
83.731467,28.368694,0,0,160,2262.6,2017/07/08 00:51:07+00,,,,,,,,,,,,,,,,,,,,,
83.73142,28.368727,0,0,161,2264.7,2017/07/08 00:51:21+00,,,,,,,,,,,,,,,,,,,,,
83.7314,28.368769,0,0,162,2266.9,2017/07/08 00:51:33+00,,,,,,,,,,,,,,,,,,,,,
83.731369,28.36882,0,0,163,2270,2017/07/08 00:51:46+00,,,,,,,,,,,,,,,,,,,,,
83.731275,28.368875,0,0,164,2271.6,2017/07/08 00:52:00+00,,,,,,,,,,,,,,,,,,,,,
83.731181,28.368947,0,0,165,2272.8,2017/07/08 00:52:13+00,,,,,,,,,,,,,,,,,,,,,
83.731075,28.369029,0,0,166,2278.9,2017/07/08 00:52:26+00,,,,,,,,,,,,,,,,,,,,,
83.731013,28.369079,0,0,167,2279.6,2017/07/08 00:52:38+00,,,,,,,,,,,,,,,,,,,,,
83.73095,28.36916,0,0,168,2278.6,2017/07/08 00:52:48+00,,,,,,,,,,,,,,,,,,,,,
83.730901,28.369271,0,0,169,2278.1,2017/07/08 00:53:01+00,,,,,,,,,,,,,,,,,,,,,
83.730844,28.36936,0,0,170,2275.9,2017/07/08 00:53:13+00,,,,,,,,,,,,,,,,,,,,,
83.730781,28.369444,0,0,171,2274.6,2017/07/08 00:53:24+00,,,,,,,,,,,,,,,,,,,,,
83.730703,28.369592,0,0,172,2273.6,2017/07/08 00:53:37+00,,,,,,,,,,,,,,,,,,,,,
83.730703,28.369697,0,0,173,2270.6,2017/07/08 00:53:49+00,,,,,,,,,,,,,,,,,,,,,
83.730643,28.369802,0,0,174,2270.8,2017/07/08 00:54:01+00,,,,,,,,,,,,,,,,,,,,,
83.730593,28.369908,0,0,175,2269,2017/07/08 00:54:12+00,,,,,,,,,,,,,,,,,,,,,
83.730588,28.370035,0,0,176,2272.2,2017/07/08 00:54:24+00,,,,,,,,,,,,,,,,,,,,,
83.730545,28.370052,0,0,177,2273.5,2017/07/08 00:54:25+00,,,,,,,,,,,,,,,,,,,,,
83.730506,28.370083,0,0,178,2274.4,2017/07/08 00:54:30+00,,,,,,,,,,,,,,,,,,,,,
83.730483,28.37011,0,0,179,2274.6,2017/07/08 00:54:33+00,,,,,,,,,,,,,,,,,,,,,
83.730403,28.370179,0,0,180,2274.8,2017/07/08 00:54:45+00,,,,,,,,,,,,,,,,,,,,,
83.730261,28.37026,0,0,181,2276.7,2017/07/08 00:54:58+00,,,,,,,,,,,,,,,,,,,,,
83.730195,28.37031,0,0,182,2276.8,2017/07/08 00:55:11+00,,,,,,,,,,,,,,,,,,,,,
83.730118,28.370374,0,0,183,2276.6,2017/07/08 00:55:26+00,,,,,,,,,,,,,,,,,,,,,
83.73001,28.370385,0,0,184,2277.5,2017/07/08 00:55:38+00,,,,,,,,,,,,,,,,,,,,,
83.729824,28.370402,0,0,185,2276.1,2017/07/08 00:55:51+00,,,,,,,,,,,,,,,,,,,,,
83.72971,28.370445,0,0,186,2274.8,2017/07/08 00:56:05+00,,,,,,,,,,,,,,,,,,,,,
83.729603,28.370554,0,0,187,2275.8,2017/07/08 00:56:17+00,,,,,,,,,,,,,,,,,,,,,
83.729525,28.370641,0,0,188,2276.7,2017/07/08 00:56:29+00,,,,,,,,,,,,,,,,,,,,,
83.729422,28.370717,0,0,189,2275.6,2017/07/08 00:56:41+00,,,,,,,,,,,,,,,,,,,,,
83.729341,28.370775,0,0,190,2276.4,2017/07/08 00:56:52+00,,,,,,,,,,,,,,,,,,,,,
83.729222,28.370831,0,0,191,2276.8,2017/07/08 00:57:05+00,,,,,,,,,,,,,,,,,,,,,
83.72911,28.370856,0,0,192,2278.6,2017/07/08 00:57:17+00,,,,,,,,,,,,,,,,,,,,,
83.729012,28.370916,0,0,193,2280.6,2017/07/08 00:57:32+00,,,,,,,,,,,,,,,,,,,,,
83.728922,28.370936,0,0,194,2282.5,2017/07/08 00:57:46+00,,,,,,,,,,,,,,,,,,,,,
83.728868,28.370975,0,0,195,2283.5,2017/07/08 00:57:56+00,,,,,,,,,,,,,,,,,,,,,
83.728801,28.371016,0,0,196,2284.2,2017/07/08 00:58:08+00,,,,,,,,,,,,,,,,,,,,,
83.72873,28.371052,0,0,197,2284.3,2017/07/08 00:58:21+00,,,,,,,,,,,,,,,,,,,,,
83.728642,28.371108,0,0,198,2284.9,2017/07/08 00:58:35+00,,,,,,,,,,,,,,,,,,,,,
83.728626,28.371166,0,0,199,2285,2017/07/08 00:58:39+00,,,,,,,,,,,,,,,,,,,,,
83.728607,28.371215,0,0,200,2284.2,2017/07/08 00:58:43+00,,,,,,,,,,,,,,,,,,,,,
83.728546,28.371321,0,0,201,2281.8,2017/07/08 00:58:51+00,,,,,,,,,,,,,,,,,,,,,
83.728488,28.371376,0,0,202,2280.4,2017/07/08 00:58:59+00,,,,,,,,,,,,,,,,,,,,,
83.728403,28.371459,0,0,203,2280.4,2017/07/08 00:59:10+00,,,,,,,,,,,,,,,,,,,,,
83.7283,28.371522,0,0,204,2278.7,2017/07/08 00:59:21+00,,,,,,,,,,,,,,,,,,,,,
83.728183,28.371599,0,0,205,2277.1,2017/07/08 00:59:33+00,,,,,,,,,,,,,,,,,,,,,
83.728094,28.371647,0,0,206,2274.9,2017/07/08 00:59:46+00,,,,,,,,,,,,,,,,,,,,,
83.727987,28.371679,0,0,207,2274.7,2017/07/08 00:59:55+00,,,,,,,,,,,,,,,,,,,,,
83.727837,28.371677,0,0,208,2275.9,2017/07/08 01:00:10+00,,,,,,,,,,,,,,,,,,,,,
83.72777,28.371705,0,0,209,2277.4,2017/07/08 01:00:24+00,,,,,,,,,,,,,,,,,,,,,
83.727788,28.371749,0,0,210,2278.5,2017/07/08 01:00:35+00,,,,,,,,,,,,,,,,,,,,,
83.727812,28.371893,0,0,211,2275.3,2017/07/08 01:00:48+00,,,,,,,,,,,,,,,,,,,,,
83.727758,28.371871,0,0,212,2274.4,2017/07/08 01:01:00+00,,,,,,,,,,,,,,,,,,,,,
83.72776,28.371872,0,0,213,2274.3,2017/07/08 01:01:15+00,,,,,,,,,,,,,,,,,,,,,
83.727733,28.371879,0,0,214,2274.3,2017/07/08 01:01:34+00,,,,,,,,,,,,,,,,,,,,,
83.727733,28.371879,0,0,215,2274.3,2017/07/08 01:01:56+00,,,,,,,,,,,,,,,,,,,,,
83.727736,28.371882,0,0,216,2274.3,2017/07/08 01:02:11+00,,,,,,,,,,,,,,,,,,,,,
83.72774,28.371885,0,0,217,2274.3,2017/07/08 01:02:34+00,,,,,,,,,,,,,,,,,,,,,
83.727724,28.371874,0,0,218,2274.3,2017/07/08 01:02:52+00,,,,,,,,,,,,,,,,,,,,,
83.727721,28.371853,0,0,219,2274.3,2017/07/08 01:03:13+00,,,,,,,,,,,,,,,,,,,,,
83.727717,28.371849,0,0,220,2274.3,2017/07/08 01:03:34+00,,,,,,,,,,,,,,,,,,,,,
83.727715,28.371872,0,0,221,2274.4,2017/07/08 01:03:58+00,,,,,,,,,,,,,,,,,,,,,
83.727705,28.371857,0,0,222,2274.6,2017/07/08 01:04:19+00,,,,,,,,,,,,,,,,,,,,,
83.727733,28.371821,0,0,223,2275,2017/07/08 01:04:45+00,,,,,,,,,,,,,,,,,,,,,
83.727707,28.371823,0,0,224,2275.3,2017/07/08 01:05:09+00,,,,,,,,,,,,,,,,,,,,,
83.727713,28.371834,0,0,225,2275.1,2017/07/08 01:05:32+00,,,,,,,,,,,,,,,,,,,,,
83.727741,28.37185,0,0,226,2274.7,2017/07/08 01:06:01+00,,,,,,,,,,,,,,,,,,,,,
83.727733,28.371865,0,0,227,2274.5,2017/07/08 01:06:26+00,,,,,,,,,,,,,,,,,,,,,
83.727708,28.371836,0,0,228,2274.3,2017/07/08 01:06:48+00,,,,,,,,,,,,,,,,,,,,,
83.727726,28.371856,0,0,229,2274.3,2017/07/08 01:07:09+00,,,,,,,,,,,,,,,,,,,,,
83.727726,28.371879,0,0,230,2274.3,2017/07/08 01:07:27+00,,,,,,,,,,,,,,,,,,,,,
83.727755,28.371894,0,0,231,2274.3,2017/07/08 01:07:44+00,,,,,,,,,,,,,,,,,,,,,
83.727761,28.371889,0,0,232,2274.3,2017/07/08 01:08:02+00,,,,,,,,,,,,,,,,,,,,,
